object_type,action_type,n,success_pct,neargt_pct,fargt_pct,cross_neargt_pct
ad,ad,45,77.8,0.0,22.2,2.2
ad,coord,44,79.5,0.0,20.5,0.0
ad,embed,45,84.4,0.0,15.6,0.0
ad,hint,45,48.9,4.4,46.7,2.2
ad,need,45,68.9,2.2,28.9,0.0
ad,none,45,84.4,2.2,13.3,0.0
ad,perm,45,71.1,0.0,28.9,0.0
ad,ques,45,51.1,2.2,46.7,2.2
ad,spc,44,72.7,0.0,27.3,2.3
ad,sph,45,75.6,2.2,22.2,0.0
ad,subord,45,75.6,0.0,24.4,2.2
none,ad,45,97.8,0.0,2.2,0.0
none,coord,45,95.6,0.0,4.4,0.0
none,embed,45,97.8,2.2,0.0,0.0
none,hint,45,51.1,4.4,44.4,2.2
none,need,45,80.0,8.9,11.1,4.4
none,perm,44,84.1,4.5,11.4,0.0
none,ques,45,62.2,2.2,35.6,0.0
none,spc,45,91.1,4.4,4.4,0.0
none,sph,44,86.4,2.3,11.4,2.3
none,subord,45,97.8,0.0,2.2,0.0
spc,ad,45,42.2,0.0,57.8,0.0
spc,coord,45,33.3,0.0,66.7,0.0
spc,embed,45,40.0,0.0,60.0,2.2
spc,hint,44,29.5,2.3,68.2,0.0
spc,need,45,46.7,2.2,51.1,0.0
spc,none,45,48.9,0.0,51.1,0.0
spc,perm,45,37.8,2.2,60.0,2.2
spc,ques,45,28.9,0.0,71.1,0.0
spc,spc,45,42.2,2.2,55.6,2.2
spc,sph,45,48.9,0.0,51.1,0.0
spc,subord,44,40.9,0.0,59.1,0.0
sph,ad,45,24.4,0.0,75.6,0.0
sph,coord,45,51.1,0.0,48.9,0.0
sph,embed,45,42.2,0.0,57.8,0.0
sph,hint,45,35.6,0.0,64.4,2.2
sph,need,45,40.0,0.0,60.0,0.0
sph,none,45,51.1,0.0,48.9,0.0
sph,perm,44,38.6,0.0,61.4,2.3
sph,ques,45,26.7,0.0,73.3,0.0
sph,spc,45,48.9,0.0,51.1,0.0
sph,sph,45,48.9,0.0,51.1,0.0
sph,subord,45,33.3,0.0,66.7,0.0
