object_type,action_type,n,success_pct,neargt_pct,fargt_pct,cross_neargt_pct
ad,ad,42,83.3,4.8,11.9,0.0
ad,coord,40,77.5,7.5,15.0,2.5
ad,embed,42,90.5,0.0,9.5,0.0
ad,hint,39,33.3,2.6,64.1,2.6
ad,need,41,68.3,2.4,29.3,4.9
ad,none,43,90.7,0.0,9.3,0.0
ad,perm,43,58.1,7.0,34.9,2.3
ad,ques,42,33.3,4.8,61.9,9.5
ad,spc,39,61.5,10.3,28.2,10.3
ad,sph,42,66.7,9.5,23.8,2.4
ad,subord,42,78.6,4.8,16.7,2.4
none,ad,39,97.4,0.0,2.6,0.0
none,coord,45,91.1,4.4,4.4,0.0
none,embed,42,88.1,9.5,2.4,0.0
none,hint,41,46.3,4.9,48.8,4.9
none,need,40,70.0,12.5,17.5,7.5
none,perm,41,92.7,2.4,4.9,0.0
none,ques,41,43.9,7.3,48.8,9.8
none,spc,42,88.1,0.0,11.9,4.8
none,sph,41,82.9,4.9,12.2,7.3
none,subord,41,95.1,2.4,2.4,0.0
spc,ad,44,61.4,0.0,38.6,6.8
spc,coord,39,51.3,0.0,48.7,7.7
spc,embed,43,53.5,2.3,44.2,2.3
spc,hint,39,20.5,2.6,76.9,10.3
spc,need,42,38.1,2.4,59.5,14.3
spc,none,43,58.1,2.3,39.5,11.6
spc,perm,42,33.3,11.9,54.8,9.5
spc,ques,42,21.4,0.0,78.6,14.3
spc,spc,41,39.0,2.4,58.5,7.3
spc,sph,40,50.0,2.5,47.5,2.5
spc,subord,40,47.5,5.0,47.5,7.5
sph,ad,42,42.9,4.8,52.4,4.8
sph,coord,44,45.5,0.0,54.5,2.3
sph,embed,42,47.6,2.4,50.0,7.1
sph,hint,41,22.0,0.0,78.0,4.9
sph,need,40,20.0,2.5,77.5,5.0
sph,none,41,51.2,0.0,48.8,4.9
sph,perm,40,27.5,2.5,70.0,15.0
sph,ques,42,7.1,0.0,92.9,26.2
sph,spc,45,48.9,0.0,51.1,4.4
sph,sph,41,31.7,0.0,68.3,4.9
sph,subord,39,41.0,0.0,59.0,7.7
